time_index	left_time_boundary	right_time_boundary	lambda
0	0	3.31191e-06	3067.74
1	3.31191e-06	8.04986e-06	3067.74
2	8.04986e-06	1.48279e-05	2735.26
3	1.48279e-05	2.45243e-05	2136.08
4	2.45243e-05	3.83959e-05	3530.46
5	3.83959e-05	5.82403e-05	2779.87
6	5.82403e-05	8.66292e-05	1579.22
7	8.66292e-05	0.000127242	1335.74
8	0.000127242	0.000185341	1353.82
9	0.000185341	0.000268458	1693.83
10	0.000268458	0.000387362	2371.26
11	0.000387362	0.000557463	2833.9
12	0.000557463	0.000800807	3070.65
13	0.000800807	0.00114893	2481.52
14	0.00114893	0.00164695	1535.04
15	0.00164695	0.0023594	1277.89
16	0.0023594	0.00337862	1327.29
17	0.00337862	0.00483669	1339.09
18	0.00483669	inf	1339.09
