time_index	left_time_boundary	right_time_boundary	lambda
0	0	4.45676e-06	2.24611
1	4.45676e-06	1.06981e-05	2.24611
2	1.06981e-05	1.94385e-05	102.279
3	1.94385e-05	3.16787e-05	1575.16
4	3.16787e-05	4.88201e-05	4296.24
5	4.88201e-05	7.28251e-05	2960.15
6	7.28251e-05	0.000106442	1829.32
7	0.000106442	0.00015352	1368.38
8	0.00015352	0.000219448	1604.05
9	0.000219448	0.000311775	2193.99
10	0.000311775	0.000441071	2721.96
11	0.000441071	0.000622138	3072.74
12	0.000622138	0.000875708	2800.13
13	0.000875708	0.00123081	2150.81
14	0.00123081	0.0017281	1534.24
15	0.0017281	0.00242452	1958.98
16	0.00242452	0.00339978	2229.47
17	0.00339978	0.00476556	336.966
18	0.00476556	inf	336.966
