time_index	left_time_boundary	right_time_boundary	lambda_00	lambda_01	lambda_11
0	0.0	4.45676e-06	1923.0199999999995	2.24611	3067.7399999999993
1	4.45676e-06	1.06981e-05	2746.6959999999995	2.24611	2934.747999999999
2	1.06981e-05	1.94385e-05	7116.273999999999	102.279	2435.67
3	1.94385e-05	3.16787e-05	11747.58	1575.16	2833.2699999999995
4	3.16787e-05	4.88201e-05	8863.023999999998	4296.24	3080.106
5	4.88201e-05	7.28251e-05	4142.963	2960.15	2059.48
6	7.28251e-05	0.000106442	1925.71	1829.32	1457.4800000000002
7	0.000106442	0.00015352	1456.0030000000002	1368.38	1344.7800000000004
8	0.00015352	0.000219448	1523.5990000000002	1604.05	1523.8250000000003
9	0.000219448	0.000311775	1946.7580000000005	2193.99	1964.802
10	0.000311775	0.000441071	2625.0820000000003	2721.96	2556.316
11	0.000441071	0.000622138	2983.9979999999996	3072.74	2904.9249999999997
12	0.000622138	0.000875708	2726.5919999999996	2800.13	2952.824
13	0.000875708	0.00123081	2251.23	2150.81	2292.224
14	0.00123081	0.0017281	1382.3599999999997	1534.24	1509.3249999999998
15	0.0017281	0.00242452	1470.4700000000005	1958.98	1277.89
16	0.00242452	0.00339978	1705.4669999999999	2229.47	1327.2900000000002
17	0.00339978	0.00476556	1730.49	336.966	1339.0900000000001
18	0.00476556	inf	1730.49	336.966	1339.09
